A,B,C,D
1.0,10.0,-33.96000000134111,89.23999999046326
2.0,21.0,-30.67999999642372,188.3400000143051
3.0,33.0,-27.86000000357628,296.28000001192095
4.0,12.0,-24.839999992847442,107.32000000357628
5.0,10.0,-21.919999998509883,88.98999999977649
6.0,15.0,-18.800000001192092,134.29999999284743
7.0,34.0,-15.789999995827674,305.10999999523165
8.0,13.0,-12.869999994039535,116.0999999973178
9.0,26.0,-9.77,233.23
10.0,23.0,-7.000000000447034,206.05999999821185
11.0,19.0,-3.9499999997019763,170.01999999910592
12.0,8.0,-0.7099999976158142,71.21999999463559
13.0,21.0,1.9899999997764826,188.29999999284743
14.0,4.0,5.15000000178814,35.23
15.0,14.0,8.299999992847443,125.2600000011921
16.0,24.0,11.299999992847443,215.35999999523162
17.0,38.0,14.369999985694886,341.0999999973178
18.0,34.0,17.09999999731779,304.98
19.0,34.0,20.329999994039536,305.25000001072885
20.0,25.0,23.369999985694886,224.29999999284743
21.0,0.0,26.009999999329448,-0.8900000047683716
22.0,36.0,29.169999997615815,323.08000000149013
23.0,7.0,32.36999998569489,62.239999990463254
24.0,8.0,35.31000001311302,71.25000001072884
25.0,2.0,37.99999999955296,17.120000000596047
26.0,16.0,40.98,143.28000001192092
27.0,36.0,44.18000000298023,323.26999999165537
28.0,15.0,47.08999999940395,134.08999999940394
29.0,15.0,50.29999999284744,134.00999999932944
30.0,22.0,53.030000000745055,197.07000000357627
31.0,2.0,56.08999999940395,17.329999994039536
32.0,32.0,59.01999999910593,286.9899999997765
33.0,19.0,62.13000000596046,170.10999999523162
34.0,38.0,65.10999999523163,341.26999999165537
35.0,26.0,67.98,233.10999999523162
36.0,36.0,71.12000000059605,323.0999999973178
37.0,26.0,74.29000000238419,233.05999999821185
38.0,6.0,77.29000000238419,53.03999999865889
39.0,9.0,80.03000000074506,80.16999999761582
40.0,39.0,83.18000000298024,349.999999999553
41.0,3.0,86.32999999403954,26.210000004172326
42.0,5.0,89.29000000238419,44.239999990463254
43.0,37.0,92.18000000298024,332.23
44.0,27.0,95.26999999165535,242.0800000014901
45.0,25.0,98.2600000011921,224.12000000059604
46.0,15.0,101.35999999523163,134.25000001072883
47.0,33.0,104.23,296.29999999284746
48.0,15.0,107.05999999821186,134.36999998569488
49.0,33.0,110.35999999523163,296.3500000047684
50.0,38.0,113.31000001311303,341.16999999761583
51.0,35.0,115.99999999955297,314.23
52.0,11.0,118.98999999977649,98.32000000357628
53.0,31.0,122.35000000476838,278.10999999523165
54.0,1.0,124.98,8.180000002980233
55.0,29.0,128.1899999934435,260.01999999910595
56.0,2.0,131.21999999463557,17.18999999344349
57.0,34.0,134.16000000715255,305.32999999403955
58.0,11.0,137.18000000298022,98.08000000149012
59.0,8.0,140.09999999731778,71.28000001192093
60.0,36.0,143.310000013113,323.13999999642374
61.0,8.0,146.13000000596045,71.23999999046326
62.0,3.0,149.1699999976158,26.199999998807908
63.0,29.0,152.050000000298,260.13999999642374
64.0,5.0,155.28000001192092,44.009999999329445
65.0,20.0,158.18000000298022,179.28000001192092
66.0,11.0,161.1399999964237,98.16000000715256
67.0,6.0,164.35000000476836,53.34000001430511
68.0,30.0,167.15000000178813,269.28000001192095
69.0,3.0,170.3400000143051,26.01999999910593
70.0,16.0,173.16000000715255,143.00999999932944
71.0,18.0,176.15000000178813,161.25000001072883
72.0,7.0,179.29000000238418,62.21999999463558
73.0,38.0,182.29999999284743,341.1999999988079
74.0,38.0,185.12000000059604,341.1300000059605
75.0,22.0,188.35999999523162,197.23
76.0,31.0,191.13000000596045,277.999999999553
77.0,33.0,194.13000000596045,296.08000000149013
78.0,36.0,197.15000000178813,323.32999999403955
79.0,7.0,200.1999999988079,62.23
80.0,26.0,203.1399999964237,233.050000000298
81.0,10.0,206.1399999964237,89.00999999932945
82.0,3.0,209.26999999165534,26.219999994635582
83.0,21.0,212.18999999344348,188.10999999523162
84.0,37.0,215.07000000357627,332.089999999404
85.0,21.0,218.10999999523162,188.050000000298
86.0,6.0,221.3400000143051,53.25000001072883
87.0,34.0,224.03000000074505,305.1899999934435
88.0,39.0,227.32000000357627,350.3500000047684
89.0,27.0,230.01999999910592,242.05999999821185
90.0,31.0,233.16000000715255,278.21000000417234
91.0,24.0,236.03999999865889,215.310000013113
92.0,31.0,239.21999999463557,278.16999999761583
93.0,11.0,242.01999999910592,98.05000000029803
94.0,15.0,245.01999999910592,134.21999999463557
95.0,25.0,248.01999999910592,223.98999999977647
96.0,37.0,251.36999998569488,332.23
97.0,0.0,254.23999999046325,-0.9100000005960465
98.0,8.0,257.05000000029804,71.1899999934435
99.0,33.0,260.26999999165537,296.13999999642374
100.0,14.0,263.15000000178816,125.26999999165535
